namaste_code,namaste_display,icd11_code,icd11_display,equivalence,justification
NAMC-ASU.4.1,Pandu,3A60.0,Iron deficiency anaemia,narrower,"Pandu is a broader concept than just iron deficiency anaemia; it describes a syndrome of pallor and can be caused by various factors affecting blood quality. Iron deficiency anaemia is the most common cause and subtype, making the ICD code narrower."
NAMC-ASU.5.3,Vicharchika,EK70.0,Atopic eczema,equivalent,"Vicharchika is described with symptoms of itching, oozing, and skin thickening, which is a very close clinical match to the presentation of Atopic Eczema (atopic dermatitis)."
NAMC-ASU.5.5,Dadru,1F25.0,Tinea corporis,equivalent,"Dadru is the specific Ayurvedic term for a fungal skin infection characterized by ring-shaped, itchy lesions. This directly corresponds to Tinea corporis (ringworm)."
NAMC-ASU.5.10,Shvitra,ED62,Vitiligo,equivalent,Both Shvitra and Vitiligo refer to the condition characterized by the loss of skin pigmentation in patches. The concepts are identical.
NAMC-ASU.7.1,Amavata,FB51.0,Rheumatoid arthritis,related-to,"Amavata has a unique pathophysiology in Ayurveda involving 'Ama' (metabolic toxins) and 'Vata'. While its presentation of swollen, painful joints closely resembles Rheumatoid Arthritis, the underlying concepts differ. 'Related-to' is appropriate as it is the closest clinical analogue."
NAMC-ASU.7.3,Gridhrasi,SF55.0,Sciatica disorder,equivalent,"Gridhrasi describes pain radiating along the sciatic nerve path, from the lower back down to the leg. This is a direct clinical and conceptual match for the ICD-11 TM2 code for Sciatica disorder."
NAMC-ASU.7.6,Sandhigata Vata,FB52,Osteoarthritis,wider,"Sandhigata Vata is a degenerative joint disorder primarily affecting large joints, closely mirroring Osteoarthritis. However, the ICD code is slightly wider as it can cover osteoarthritis in any joint, whereas Sandhigata Vata classically focuses on specific sites like the knee."
NAMC-ASU.8.1,Pakshaghata,8B21,Ischaemic stroke,narrower,"Pakshaghata refers to paralysis, often of one side of the body (hemiplegia), which is a common outcome of a stroke. Ischaemic stroke is a specific cause, making the ICD-11 code narrower than the broader clinical sign of Pakshaghata."
NAMC-ASU.9.4,Mutrakrichchhra,MF91,Dysuria,equivalent,Both terms describe the symptom of painful or difficult urination. The clinical definition is identical.
NAMC-ASU.11.2,Ardhavabhedaka,8A80.0,Migraine without aura,equivalent,"Ardhavabhedaka literally means 'half-sided splitting pain' in the head, which is the classic description of a unilateral migraine headache. It is an excellent conceptual and clinical match."
NAMC-ASU.11.7,Anidra,7A80,Insomnia,equivalent,"Anidra (loss of sleep) and Insomnia both refer to the persistent difficulty with sleep initiation, duration, consolidation, or quality. The concepts are a direct match."
NAMC-ASU.12.1,Netrabhisyanda,9A00.1,Acute conjunctivitis,equivalent,"Netrabhisyanda is the primary Ayurvedic term for conjunctivitis, describing redness, discharge, and inflammation of the eye. It aligns perfectly with the clinical entity of acute conjunctivitis."
NAMC-ASU.14.3,Sthaulya,5B81,Obesity,equivalent,Both terms refer to a condition of excessive body fat accumulation to the extent that it may have a negative effect on health. The clinical concept is identical.
NAMC-ASU.16.1,Timira,9B70,Cataract,related-to,"Timira describes a progressive loss of vision due to pathology within the lens, with cataract being the final, opaque stage. Therefore, mapping Timira to Cataract is 'related-to' as Cataract represents the most common and definitive outcome of the Timira disease process."
NAMC-ASU.17.8,Kamala,DB91,Jaundice,equivalent,"Kamala is the Ayurvedic term for jaundice, characterized by yellowing of the skin and sclera due to high bilirubin levels. The clinical sign and the term are direct equivalents."
NAMC-ASU.19.1,Galaganda,5A03,Endemic goitre,related-to,"Galaganda refers to swelling in the neck, which clinically corresponds to a goitre. While it can have various causes, it is most classically associated with iodine deficiency. Endemic goitre is a strong clinical correlate but not a direct synonym, as Galaganda describes the morphology rather than the specific etiology."
AYU-001,Amlapitta (Hyperacidity),GA70.0,Gastro-oesophageal reflux disease,equivalent,https://jaims.in/jaims/article/view/3590/5976
AYU-002,Jwara (Fever),1A00,"Fever, unspecified",wider,https://drvaidji.com/blogs/knowledge-base/what-are-common-seasonal-diseases-due-to-imbalance-of-doshas-according-to-ayurveda
AYU-003,Kasa (Cough),CA80.Z,"Cough, unspecified",equivalent,https://fssai.gov.in/upload/uploadfiles/files/Ayurveda%20Aahara%20Compendium.pdf
AYU-004,Shwasa (Dyspnoea/Asthma),CA23.Z,"Asthma, unspecified",equivalent,https://pmc.ncbi.nlm.nih.gov/articles/PMC8136275/
AYU-005,Sandhivata (Osteoarthritis),FA00.0,Osteoarthritis of knee,related-to,https://drvaidji.com/blogs/knowledge-base/what-are-common-seasonal-diseases-due-to-imbalance-of-doshas-according-to-ayurveda
AYU-006,Kushta (Skin Diseases),EK9Z,"Skin disorder, unspecified",wider,https://drvaidji.com/blogs/knowledge-base/what-are-common-seasonal-diseases-due-to-imbalance-of-doshas-according-to-ayurveda
AYU-007,Prameha (Diabetes),5A10,Type 1 diabetes mellitus,related-to,https://www.easyayurveda.com/2016/12/06/shwasa-roga-dyspnoea-types-symptoms/
AYU-008,Arsha (Hemorrhoids),DB30,Internal haemorrhoids,equivalent,https://www.unanijournal.com/articles/196/5-3-12-771.pdf
AYU-009,Mutrakrichra (Dysuria),GC08,Dysuria,equivalent,https://drvaidji.com/blogs/knowledge-base/what-are-common-seasonal-diseases-due-to-imbalance-of-doshas-according-to-ayurveda
AYU-010,Gulma (Abdominal Mass),ME24.Y,Other specified abdominal mass,equivalent,https://www.easyayurveda.com/2016/12/06/shwasa-roga-dyspnoea-types-symptoms/
SID-001,Suram (Fever),1A00,"Fever, unspecified",wider,https://core.ac.uk/download/235656927.pdf
SID-002,Keel Vayu (Joint Pain/Arthritis),FA00.Z,"Osteoarthritis, unspecified",equivalent,https://www.wjpmr.com/download/article/138072025/1753857488.pdf
SID-003,Azhal Keel Vayu (Rheumatoid Arthritis),FA20.0Z,"Rheumatoid arthritis, unspecified",equivalent,https://www.wjpmr.com/download/article/138072025/1753857488.pdf
SID-004,Irumbu (Iron Deficiency),3A00,Iron deficiency anaemia,equivalent,Direct correlation between Irumbu concept and iron deficiency anemia in conventional medicine
SID-005,Mega Noi (Urinary Disorders),GC60.Z,"Disorder of urinary system, unspecified",wider,https://core.ac.uk/download/235656927.pdf
SID-006,Vali Noi (Neurological Disorders),8E4Z,"Neurological disorder, unspecified",wider,"Vali Noi represents Vata-related neurological conditions, broader than specific ICD-11 neurological categories"
SID-007,Pittha Noi (Inflammatory Conditions),4A4Z,"Inflammatory disorder, unspecified",wider,Pittha Noi encompasses various inflammatory conditions based on Pitta dosha imbalance
SID-008,Iya Noi (Respiratory Conditions),CA2Z,"Respiratory system disorder, unspecified",wider,"Iya Noi represents Kapha-related respiratory disorders, broader than specific respiratory conditions"
SID-009,Vippuruthi (Cancer/Tumor),2A00.Z,"Malignant neoplasm, unspecified",related-to,https://clinicalestablishments.mohfw.gov.in/sites/default/files/standard-treatment-guidelines/2501.pdf
SID-010,Gunmam (Thyroid Disorders),5A00.0,Hyperthyroidism,related-to,"Gunmam represents neck swelling conditions, often correlating with thyroid disorders"
UNA-001,Nazla (Common Cold/Rhinitis),CA00.0,Acute nasopharyngitis,equivalent,https://www.phytojournal.com/archives/2015/vol3issue6/PartA/3-6-4.1.pdf
UNA-002,Zukaam (Nasal Congestion),CA05.1,Acute rhinitis,equivalent,https://www.jetir.org/view?paper=JETIR2205177
UNA-003,Bukhaar (Fever),1A00,"Fever, unspecified",wider,"Similar to other traditional fever concepts, Bukhaar has specific Unani pathogenesis while ICD-11 is broader"
UNA-004,Bawaseer (Hemorrhoids),DB30,Internal haemorrhoids,equivalent,https://www.unanijournal.com/articles/196/5-3-12-771.pdf
UNA-005,Waja-ul-Mafasil (Arthritis),FA00.Z,"Osteoarthritis, unspecified",equivalent,Joint pain and arthritis with similar clinical presentation to conventional arthritis
UNA-006,Qurha (Gastric Ulcer),DA60.0,Gastric ulcer,equivalent,Direct correlation between Qurha and gastric ulcer with similar pathophysiology and symptoms
UNA-007,Ziabetus (Diabetes),5A11,Type 2 diabetes mellitus,equivalent,Unani understanding of diabetes correlates well with conventional diabetes classification
UNA-008,Yarqan (Jaundice),DB90.0,"Jaundice, unspecified",equivalent,Direct correlation between Yarqan and jaundice with similar clinical presentation
UNA-009,Istisqa (Ascites/Dropsy),ME05,Ascites,equivalent,Both conditions represent fluid accumulation in the abdomen with similar clinical features
UNA-010,Diq-ul-Nafas (Dyspnoea),MD80,Dyspnoea,equivalent,Direct correlation between breathing difficulties in both classification systems
